发布日期,平台,Gamer520标题,清理后标题,标签,一句话描述,推荐度0-5,推荐标签,判断理由,链接
2026-05-29,PC,星尘轨迹 魔女之愿,星尘轨迹：魔女之愿,像素SRPG；奇幻冒险；回合战术；卡牌,在奇幻旅途中带领伙伴作战，用回合战术和卡牌机制推进一段舞台感较强的冒险故事。,4,推荐,叙事、伙伴成长和策略战斗都比较贴合；题材偏日式奇幻，不是最核心口味,https://www.gamer520.com/114473.html
2026-05-29,PC,武道残编,武道残编,武侠放置；门派修炼；奇遇；成长,以门派修炼、江湖奇遇和数值成长为核心的武侠放置RPG。,1,不优先,有江湖奇遇但核心是放置成长和数值循环，与你偏好的主动选择压力较远,https://www.gamer520.com/114476.html
2026-05-29,PC,团队对战经理2,团队对战经理2,电竞管理；阵容构筑；战术模拟,扮演电竞战队经理，通过选手、阵容和战术安排来赢下赛季。,3,可试,可研究管理循环和阵容决策；叙事与氛围弱,https://www.gamer520.com/114271.html
2026-05-29,PC,罗马拓荒录,罗马拓荒录,罗马；城市建设；资源经营,在古罗马背景下建设定居点、组织资源生产并扩张城镇。,2,观望,有经营结构，但题材和叙事牵引不算贴合,https://www.gamer520.com/114360.html
2026-05-29,PC,矮人吞山,矮人吞山,矮人；挖掘；资源经营；建设,围绕矮人开采、地下建设和资源循环展开的策略经营游戏。,2,观望,可能有资源链和建设循环，但需要看系统深度,https://www.gamer520.com/113877.html
2026-05-29,PC,废墟国度 符文之门,废墟国度：符文之门,奇幻废土；符文；探索；RPG,在废墟化的奇幻国度中探索符文之门，围绕冒险和成长展开。,2,观望,标题和题材有探索感，但信息不足，先低权重收录,https://www.gamer520.com/111803.html
2026-05-29,PC,拾光旅人 Outbound,拾光旅人 Outbound,露营车；开放世界；采集制作；轻生存,开着可改装露营车在开放世界旅行，通过采集、制作和建造经营自己的移动小家。,3,可试,贴近轻探索、生活感和空间经营；叙事密度可能偏弱,https://www.gamer520.com/113336.html
2026-05-29,PC,风屿奇航,风屿奇航,航海；岛屿探索；冒险；资源,以群岛航行为核心，在海上探索、收集资源并推进冒险。,3,可试,若偏航线探索和资源决策会有参考价值；先作为轻探索候选,https://www.gamer520.com/110475.html
2026-05-29,PC,枪匠模拟器,枪匠模拟器,枪械工坊；拆装；订单经营；模拟,经营枪械工坊，完成拆解、修理、改装和订单交付。,1,不优先,系统可能细，但叙事、人文和探索弱,https://www.gamer520.com/114433.html
2026-05-29,PC,薛定谔的电话 Schrödinger’s Call,薛定谔的电话,文字冒险；末日前通话；情绪叙事；绘本,在世界末日前接通一通通电话，倾听他人的遗憾并寻找连接和救赎。,5,强推,短篇叙事、形式感和情绪核心非常贴合你的口味,https://www.gamer520.com/114429.html
2026-05-29,PC,西部幽魂,西部幽魂,西部；幽灵；冒险；荒野,以西部荒野和幽灵元素为背景展开一段带神秘色彩的冒险。,2,观望,西部边缘秩序题材可看，但类型未必贴叙事探索,https://www.gamer520.com/114427.html
