发布日期,平台,标题,标签,一句话描述,推荐度,推荐标签,判断理由,链接,用户备注
2026-06-08,Switch,蝙蝠侠 三部合集,"动作,冒险",Switch版阿卡姆三部曲合集，含全部DLC,4,"开放世界,动作,叙事驱动",经典三部曲合集，Switch版便携但画质妥协,https://www.gamer520.com/115113.html,
2026-06-08,PC,阎罗索命,"冒险,独立,角色扮演",古风悬疑探案文字冒险，北宋国子监连环命案,2,,古风文字冒险非偏好类型,https://www.gamer520.com/115109.html,
2026-06-08,PC,东方侵蚀 堕落的乐园巫女,"动作,角色扮演",东方Project同人，Survivors-like弹幕生存动作游戏,3,"刷刷刷,独立",东方弹幕+幸存者like可尝试,https://www.gamer520.com/115107.html,
2026-06-08,Switch,尖塔爆破 Spire Blast,益智；物理；解谜,物理益智游戏，发射彩色投影机触发链条反应推倒尖塔。,1,非常不推荐,纯物理益智解谜游戏，无叙事、氛围或情感体验，不在口味范围内。,https://www.gamer520.com/115098.html,
2026-06-08,Switch,蛋落伤害 Fowl Damage,平台跳跃；解谜；动作,益智平台游戏，通过管理跳跃和坠落伤害穿越关卡，包含BOSS战。,1,非常不推荐,平台跳跃+操作挑战为核心，口味中明确不偏好纯反应动作/操作挑战类型。,https://www.gamer520.com/115096.html,
2026-06-08,PC,宝石少女 2nd.cut:For the Exquisite Attire,冒险；视觉小说；叙事；日系,郁系视觉小说，宝石技师少年与失忆少女的纯爱故事，围绕魔女审判展开。,3,可试,有故事、有情绪、有禁断之爱的氛围感，叙事驱动，但日系二次元视觉小说风格不在核心偏好内，可试玩感受。,https://www.gamer520.com/115076.html,否，纯视觉小说
2026-06-08,PC,断指默示录,策略；骰子；Roguelike；黑暗,骰子扑克策略游戏，以断指为赌注与恶魔赌局对决，roguelike要素。,2,不推荐,核心是骰子扑克牌型对决+策略Roguelike，有黑暗氛围但主要乐趣来自牌型策略和数值对决，缺少叙事和生活感。,https://www.gamer520.com/115066.html,
2026-06-08,PC,图书管理员 整理魔法图书馆吧 Librarian Tidy Up the Arcane Library,模拟；整理；沉浸；策略,第一人称整理模拟游戏，将散落的3072本书归位到魔法图书馆，解锁魔法技能提升效率。,3,可试,形式新颖的整理模拟，沉浸式图书馆氛围随进度变化，有策略性（技能搭配提升效率），独特体验引擎。,https://www.gamer520.com/112962.html,
2026-06-08,PC,异世界冒险者公会 Isekai Adventurer Guild,SRPG；Roguelite；日系；战斗,培养异世界冒险者并组队冒险的SRPG类Roguelite游戏，接取委托完成任务。,1,非常不推荐,核心是SRPG战斗+培养Roguelite，日系异世界题材战斗为主，缺少叙事和生活感。,https://www.gamer520.com/105334.html,
2026-06-08,PC,息风谷战略,武侠；战略RPG；经营；回合制,武侠题材地域压制型战略RPG，经营门派、招贤纳士、回合制战斗、探索剧情。,2,不推荐,武侠题材战略RPG，有剧情和经营要素但核心是回合制战斗+地域压制策略，回合战斗不在偏好内。,https://www.gamer520.com/105266.html,
2026-06-08,PC,打骨折超市日记 支持者版 Discounty,模拟；经营；社区；叙事,超市经营模拟游戏，管理库存、设计店铺、与当地人交往并揭开小镇秘密。,3,可试,超市经营模拟有社区关系、人物事件和小镇秘密，有经营压力，不算纯机械流程，可试玩。,https://www.gamer520.com/98278.html,
2026-06-08,PC,节奏魔女 舞动的骷髅,音乐节奏；幸存者；动作,类幸存者+音乐节奏游戏，跟随节拍打击敌人，解锁技能流派。,1,非常不推荐,纯动作+节奏操作+类幸存者割草，核心是反应速度和操作，完全不在口味内。,https://www.gamer520.com/92555.html,
